timestamp,line,status
2024-03-14 07:30:11.256716,M4,Alt kører efter planen
2024-03-14 07:20:10.003046,M1,Alt kører efter planen
2024-03-14 07:20:10.003046,M2,Alt kører efter planen
2024-03-14 07:20:10.003046,M3,Alt kører efter planen
2024-03-14 07:20:10.003046,M4,Alt kører efter planen
2024-03-14 07:10:07.372635,M1,Alt kører efter planen
2024-03-14 07:10:07.372635,M2,Alt kører efter planen
2024-03-14 07:10:07.372635,M3,Alt kører efter planen
2024-03-14 07:10:07.372635,M4,Alt kører efter planen
2024-03-14 07:00:10.470176,M1,Alt kører efter planen
2024-03-14 07:00:10.470176,M2,Alt kører efter planen
2024-03-14 07:00:10.470176,M3,Alt kører efter planen
2024-03-14 07:00:10.470176,M4,Alt kører efter planen
2024-03-14 06:50:10.174286,M1,Alt kører efter planen
2024-03-14 06:50:10.174286,M2,Alt kører efter planen
2024-03-14 06:50:10.174286,M3,Alt kører efter planen
2024-03-14 06:50:10.174286,M4,Alt kører efter planen
2024-03-14 06:40:10.367967,M1,Alt kører efter planen
2024-03-14 06:40:10.367967,M2,Alt kører efter planen
2024-03-14 06:40:10.367967,M3,Alt kører efter planen
2024-03-14 06:40:10.367967,M4,Alt kører efter planen
2024-03-14 06:30:11.876675,M1,Alt kører efter planen
2024-03-14 06:30:11.876675,M2,Alt kører efter planen
2024-03-14 06:30:11.876675,M3,Alt kører efter planen
2024-03-14 06:30:11.876675,M4,Alt kører efter planen
2024-03-14 06:20:11.250516,M1,Alt kører efter planen
2024-03-14 06:20:11.250516,M2,Alt kører efter planen
2024-03-14 06:20:11.250516,M3,Alt kører efter planen
2024-03-14 06:20:11.250516,M4,Alt kører efter planen
2024-03-14 06:10:11.286812,M1,Alt kører efter planen
2024-03-14 06:10:11.286812,M2,Alt kører efter planen
2024-03-14 06:10:11.286812,M3,Alt kører efter planen
2024-03-14 06:10:11.286812,M4,Alt kører efter planen
2024-03-14 06:00:07.221198,M1,Alt kører efter planen
2024-03-14 06:00:07.221198,M2,Alt kører efter planen
2024-03-14 06:00:07.221198,M3,Alt kører efter planen
2024-03-14 06:00:07.221198,M4,Alt kører efter planen
2024-03-14 05:50:10.689033,M1,Alt kører efter planen
2024-03-14 05:50:10.689033,M2,Alt kører efter planen
2024-03-14 05:50:10.689033,M3,Alt kører efter planen
2024-03-14 05:50:10.689033,M4,Alt kører efter planen
2024-03-14 05:40:07.362148,M1,Alt kører efter planen
2024-03-14 05:40:07.362148,M2,Alt kører efter planen
2024-03-14 05:40:07.362148,M3,Alt kører efter planen
2024-03-14 05:40:07.362148,M4,Alt kører efter planen
2024-03-14 05:30:06.422907,M1,Alt kører efter planen
2024-03-14 05:30:06.422907,M2,Alt kører efter planen
2024-03-14 05:30:06.422907,M3,Alt kører efter planen
2024-03-14 05:30:06.422907,M4,Alt kører efter planen
2024-03-14 05:20:06.320553,M1,Alt kører efter planen
2024-03-14 05:20:06.320553,M2,Alt kører efter planen
2024-03-14 05:20:06.320553,M3,Alt kører efter planen
2024-03-14 05:20:06.320553,M4,Alt kører efter planen
2024-03-14 05:10:07.888837,M1,Alt kører efter planen
2024-03-14 05:10:07.888837,M2,Alt kører efter planen
2024-03-14 05:10:07.888837,M3,Alt kører efter planen
2024-03-14 05:10:07.888837,M4,Alt kører efter planen
2024-03-14 05:00:09.485371,M1,Alt kører efter planen
2024-03-14 05:00:09.485371,M2,Alt kører efter planen
2024-03-14 05:00:09.485371,M3,Alt kører efter planen
2024-03-14 05:00:09.485371,M4,Alt kører efter planen
2024-03-14 04:50:10.563423,M1,Alt kører efter planen
2024-03-14 04:50:10.563423,M2,Alt kører efter planen
2024-03-14 04:50:10.563423,M3,Alt kører efter planen
2024-03-14 04:50:10.563423,M4,Alt kører efter planen
2024-03-14 04:40:10.138280,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:40:10.138280,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:40:10.138280,M3,Vi kører efter planen
2024-03-14 04:40:10.138280,M4,Vi kører efter planen
2024-03-14 04:30:10.743815,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:30:10.743815,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:30:10.743815,M3,Vi kører efter planen
2024-03-14 04:30:10.743815,M4,Vi kører efter planen
2024-03-14 04:20:10.645054,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:20:10.645054,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:20:10.645054,M3,Vi kører efter planen
2024-03-14 04:20:10.645054,M4,Vi kører efter planen
2024-03-14 04:10:06.749247,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:10:06.749247,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:10:06.749247,M3,Vi kører efter planen
2024-03-14 04:10:06.749247,M4,Vi kører efter planen
2024-03-14 04:00:10.960741,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:00:10.960741,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 04:00:10.960741,M3,Vi kører efter planen
2024-03-14 04:00:10.960741,M4,Vi kører efter planen
2024-03-14 03:50:10.927040,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:50:10.927040,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:50:10.927040,M3,Vi kører efter planen
2024-03-14 03:50:10.927040,M4,Vi kører efter planen
2024-03-14 03:40:08.506157,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:40:08.506157,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:40:08.506157,M3,Vi kører efter planen
2024-03-14 03:40:08.506157,M4,Vi kører efter planen
2024-03-14 03:30:09.404994,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:30:09.404994,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:30:09.404994,M3,Vi kører efter planen
2024-03-14 03:30:09.404994,M4,Vi kører efter planen
2024-03-14 03:20:09.360676,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:20:09.360676,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:20:09.360676,M3,Vi kører efter planen
2024-03-14 03:20:09.360676,M4,Vi kører efter planen
2024-03-14 03:10:09.899769,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:10:09.899769,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:10:09.899769,M3,Vi kører efter planen
2024-03-14 03:10:09.899769,M4,Vi kører efter planen
2024-03-14 03:00:10.010998,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:00:10.010998,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 03:00:10.010998,M3,Vi kører efter planen
2024-03-14 03:00:10.010998,M4,Vi kører efter planen
2024-03-14 02:50:09.427507,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:50:09.427507,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:50:09.427507,M3,Vi kører efter planen
2024-03-14 02:50:09.427507,M4,Vi kører efter planen
2024-03-14 02:40:09.893924,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:40:09.893924,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:40:09.893924,M3,Vi kører efter planen
2024-03-14 02:40:09.893924,M4,Vi kører efter planen
2024-03-14 02:30:09.646486,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:30:09.646486,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:30:09.646486,M3,Vi kører efter planen
2024-03-14 02:30:09.646486,M4,Vi kører efter planen
2024-03-14 02:20:07.419114,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:20:07.419114,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:20:07.419114,M3,Vi kører efter planen
2024-03-14 02:20:07.419114,M4,Vi kører efter planen
2024-03-14 02:10:08.379224,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:10:08.379224,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:10:08.379224,M3,Vi kører efter planen
2024-03-14 02:10:08.379224,M4,Vi kører efter planen
2024-03-14 02:00:07.263238,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:00:07.263238,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 02:00:07.263238,M3,Vi kører efter planen
2024-03-14 02:00:07.263238,M4,Vi kører efter planen
2024-03-14 01:50:06.462191,M1,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
2024-03-14 01:50:06.462191,M2,Lukket frem til kl. 05:00 pga. sporarbejde. Metrobusser kører hvert 20. minut. Se afgangstider på rejseplanen.dk
